PID,Player,Team,Apps,Minutes,Goals,Assists,xG,xA,xG90,xA90
1,Romelu Lukaku,Manchester United,3,270,3,0,3.01,0.40,1.00,0.13
2,Sadio Mané,Liverpool,3,256,3,0,1.87,0.21,0.66,0.07
3,Chicharito,West Ham,3,270,2,0,1.62,0.07,0.54,0.02
4,Roberto Firmino,Liverpool,3,257,2,2,1.48,1.56,0.52,0.55
5,Anthony Martial,Manchester United,3,100,2,1,0.77,0.45,0.69,0.41
6,Raheem Sterling,Manchester City,3,141,2,0,0.44,0.05,0.28,0.03
7,Wayne Rooney,Everton,3,270,2,0,0.79,0.38,0.26,0.13
8,Dele Alli,Tottenham,3,265,2,0,1.71,0.25,0.58,0.08
9,Shinji Okazaki,Leicester,3,213,2,0,1.80,0.15,0.76,0.06
10,Jamie Vardy,Leicester,3,257,2,0,0.92,0.68,0.32,0.24
11,Mohamed Salah,Liverpool,3,208,2,1,2.81,0.73,1.22,0.32
12,Marcos Alonso,Chelsea,3,270,2,0,0.35,0.09,0.12,0.03
13,Sam Vokes,Burnley,3,238,2,0,0.32,0.05,0.12,0.02
14,Paul Pogba,Manchester United,3,270,2,1,1.52,0.48,0.51,0.16
15,Álvaro Morata,Chelsea,3,190,2,2,1.44,0.62,0.68,0.30
16,Steve Mounie,Huddersfield,3,268,2,0,1.38,0.08,0.46,0.03
17,Charlie Daniels,Bournemouth,3,270,1,0,0.05,0.00,0.02,0.00
18,Daniel Sturridge,Liverpool,2,76,1,0,0.82,0.03,0.97,0.03
19,Danny Welbeck,Arsenal,3,257,1,0,1.64,0.38,0.57,0.13
20,Olivier Giroud,Arsenal,3,69,1,0,0.23,0.26,0.30,0.34
21,Aaron Ramsey,Arsenal,3,159,1,0,1.09,0.02,0.62,0.01
22,Marcus Rashford,Manchester United,3,179,1,1,0.84,0.83,0.42,0.42
23,Miguel Britos,Watford,3,203,1,0,0.81,0.00,0.36,0.00
24,Etienne Capoue,Watford,1,7,1,0,0.02,0.02,0.21,0.27
25,Sergio Agüero,Manchester City,3,198,1,0,0.96,1.13,0.44,0.51
26,Marouane Fellaini,Manchester United,3,42,1,0,0.76,0.08,1.63,0.17
27,Ben Davies,Tottenham,3,263,1,0,0.28,0.65,0.10,0.22
28,Jordan Ayew,Swansea,3,270,1,0,0.21,0.00,0.07,0.00
29,Cesc Fàbregas,Chelsea,2,174,1,0,0.10,0.29,0.05,0.15
30,Tammy Abraham,Swansea,3,247,1,0,0.75,0.10,0.27,0.04
31,Aleksandar Mitrovic,Newcastle United,1,12,1,0,1.23,0.20,9.21,1.52
32,Dusan Tadic,Southampton,3,255,1,0,1.53,0.35,0.54,0.12
33,Jay Rodriguez,West Bromwich Albion,3,268,1,0,0.84,0.24,0.28,0.08
34,Charlie Austin,Southampton,2,27,1,0,0.85,0.00,2.82,0.00
35,Joselu,Newcastle United,2,115,1,0,0.73,0.10,0.58,0.08
36,Peter Crouch,Stoke,2,44,1,0,0.46,0.07,0.94,0.15
37,Ciaran Clark,Newcastle United,3,270,1,0,0.58,0.47,0.19,0.16
38,Manolo Gabbiadini,Southampton,3,225,1,0,0.49,0.02,0.20,0.01
39,Stephen Ward,Burnley,3,270,1,0,0.12,0.14,0.04,0.05
40,David Luiz,Chelsea,3,270,1,0,0.53,0.00,0.18,0.00
41,Harry Maguire,Leicester,3,270,1,1,0.08,0.56,0.03,0.19
42,Abdoulaye Doucouré,Watford,3,270,1,0,0.74,0.07,0.25,0.02
43,Hal Robson-Kanu,West Bromwich Albion,2,37,1,0,0.34,0.00,0.84,0.00
44,Eric Bailly,Manchester United,3,270,1,0,0.97,0.00,0.32,0.00
45,Stefano Okaka,Watford,1,67,1,0,0.53,0.11,0.71,0.14
46,Jesé,Stoke,2,136,1,0,0.27,0.19,0.18,0.12
47,Alexandre Lacazette,Arsenal,3,197,1,0,0.27,0.54,0.12,0.25
48,Ahmed Hegazy,West Bromwich Albion,3,270,1,0,0.52,0.12,0.17,0.04
49,Chris Wood,Burnley,1,32,1,0,0.23,0.00,0.64,0.00
50,Gabriel Jesus,Manchester City,3,213,1,0,1.92,0.06,0.81,0.03
51,Richarlison,Watford,3,210,1,0,1.04,0.72,0.45,0.31
52,Aaron Mooy,Huddersfield,3,270,1,1,0.12,0.56,0.04,0.19
53,Loris Karius,Liverpool,1,90,0,0,0.00,0.00,0.00,0.00
54,Andreas Christensen,Chelsea,3,164,0,0,0.00,0.03,0.00,0.01
55,Granit Xhaka,Arsenal,3,261,0,2,0.12,0.28,0.04,0.10
56,Pascal Groß,Brighton,3,244,0,0,0.07,0.19,0.02,0.07
57,Elias Kachunga,Huddersfield,3,252,0,1,0.48,0.18,0.17,0.06
58,Ragnar Klavan,Liverpool,1,90,0,0,0.00,0.02,0.00,0.02
59,Henrikh Mkhitaryan,Manchester United,3,250,0,5,0.31,2.24,0.11,0.81
60,Joel Matip,Liverpool,3,270,0,0,0.74,0.04,0.25,0.01
61,Leroy Sané,Manchester City,3,96,0,0,0.00,0.03,0.00,0.03
62,Eric Maxim Choupo-Moting,Stoke,3,197,0,0,0.33,0.12,0.15,0.05
63,Sead Kolasinac,Arsenal,2,158,0,1,0.06,0.55,0.03,0.31
64,Markus Suttner,Brighton,3,270,0,0,0.02,0.02,0.01,0.01
65,Kevin De Bruyne,Manchester City,3,270,0,0,0.28,0.65,0.09,0.22
66,Son Heung-Min,Tottenham,3,119,0,0,0.02,0.57,0.01,0.43
67,Simon Francis,Bournemouth,1,81,0,0,0.00,0.00,0.00,0.00
68,Steve Cook,Bournemouth,3,270,0,0,0.06,0.10,0.02,0.03
69,Andrew Surman,Bournemouth,3,270,0,0,0.03,0.16,0.01,0.05
70,Matt Ritchie,Newcastle United,3,270,0,1,0.28,0.61,0.09,0.20
71,Dan Gosling,Bournemouth,1,90,0,0,0.00,0.00,0.00,0.00
72,Joshua King,Bournemouth,3,270,0,0,0.44,0.02,0.15,0.01
73,Marc Pugh,Bournemouth,2,74,0,0,0.00,0.03,0.00,0.03
74,Joe Allen,Stoke,3,270,0,0,0.03,0.06,0.01,0.02
75,Jordon Ibe,Bournemouth,2,106,0,0,0.02,0.03,0.01,0.03
76,Divock Origi,Liverpool,1,5,0,0,0.00,0.00,0.00,0.00
77,Simon Mignolet,Liverpool,2,180,0,0,0.00,0.00,0.00,0.00
78,James Milner,Liverpool,3,99,0,0,0.22,0.08,0.20,0.08
79,Petr Cech,Arsenal,3,270,0,0,0.00,0.00,0.00,0.00
80,Héctor Bellerín,Arsenal,3,270,0,0,0.41,0.04,0.14,0.01
81,Laurent Koscielny,Arsenal,1,90,0,0,0.00,0.00,0.00,0.00
82,Nacho Monreal,Arsenal,3,270,0,0,0.00,0.05,0.00,0.02
83,Mohamed Elneny,Arsenal,1,69,0,1,0.01,0.05,0.02,0.07
84,Francis Coquelin,Arsenal,1,42,0,0,0.00,0.00,0.00,0.00
85,Alexis Sánchez,Arsenal,1,64,0,0,0.01,0.12,0.02,0.16
86,Mesut Özil,Arsenal,3,270,0,0,0.26,1.18,0.09,0.39
87,Alex Iwobi,Arsenal,1,9,0,0,0.00,0.00,0.00,0.00
88,Theo Walcott,Arsenal,2,22,0,0,0.00,0.00,0.00,0.00
89,Wayne Hennessey,Crystal Palace,3,270,0,0,0.00,0.00,0.00,0.00
90,Joel Ward,Crystal Palace,3,270,0,0,0.00,0.04,0.00,0.01
91,Scott Dann,Crystal Palace,3,270,0,0,0.16,0.03,0.05,0.01
92,Jason Puncheon,Crystal Palace,3,255,0,0,0.18,0.26,0.06,0.09
93,Yohan Cabaye,Crystal Palace,1,29,0,0,0.08,0.08,0.24,0.26
94,Wilfried Zaha,Crystal Palace,1,90,0,0,0.38,0.04,0.38,0.04
95,Martin Kelly,Crystal Palace,1,50,0,0,0.12,0.00,0.22,0.00
96,Lee Chung-yong,Crystal Palace,1,41,0,0,0.03,0.04,0.06,0.08
97,Angelo Ogbonna,West Ham,3,270,0,0,0.00,0.00,0.00,0.00
98,Winston Reid,West Ham,1,90,0,0,0.00,0.00,0.00,0.00
99,James Tomkins,Crystal Palace,3,140,0,0,0.21,0.00,0.14,0.00
100,Michail Antonio,West Ham,2,161,0,0,0.17,0.23,0.09,0.13
101,Cheikhou Kouyaté,West Ham,1,13,0,0,0.00,0.00,0.00,0.00
102,Mark Noble,West Ham,3,229,0,0,0.03,0.19,0.01,0.08
103,Aaron Cresswell,West Ham,3,188,0,0,0.09,0.16,0.04,0.08
104,Manuel Lanzini,West Ham,1,38,0,0,0.04,0.00,0.08,0.00
105,Victor Moses,Chelsea,2,180,0,0,0.18,0.12,0.09,0.06
106,Pedro Obiang,West Ham,2,101,0,0,0.00,0.03,0.00,0.02
107,David de Gea,Manchester United,3,270,0,0,0.00,0.00,0.00,0.00
